PRIZE, CONTESTANT, trophy, presenter, diploma, principal, medal, runner, book, author, mortgage, lender, C
RACQUET, TENNIS, springboard, diver, horse, pole, glove, boxing, club, golf, gun, hunting, D, 1
OIL, LUBRICATE, adhesive, bond, speedometer, accelerate, nail, hammer, knife, sharpen, jacket, button, A, 1
DESOLATE, INHABITANTS, spacious, expanse, barren, vegetation, shallow, hazards, residential, homes, stagnant, permanence, B, 1
HEAVY, WEIGHT, ancient, age, warlike, force, brief, clarity, bulky, strength, fertile, diversity, A, 
BABBLE, SPEAK, muter, hear, scribble, write, jabber, whisper, quibble, ask, cuddle, touch, B, 
FILAMENT, LIGHT BULB, meteor, trajectory, ashes, fireplace, wick, candle, food, body, thread, cloth, C, 
SHIN, KNEE, foot, hip, tendon, wrist, ear, forehead, firearm, fist, Nerves, blood, D, 
ANTIDOTE, POSION, fertilizer, irrigation, sedative, relaxation, lubricant, friction, radar, frequency, fuel, motion, C, 
EMBEZZLER, FUNDS, poacher, game, traitor, enemy, instigator, disturbance, opportunist, luck, convict, sentence, A, 
SAVORY, TASTE, obnoxious, smell, slippery, touch, blurred, vision, melodious, hearing, elusive, memory, D, 
COMMISERATE, SYMPATHY, surrender, hostility, confide, suspicion, discuss, admiration, revere, devotion, free, coercion, D, 
DIN, CACOPHONOUS, discordance, peaceful, silence, continuous, drone, monotonous, music, staccato, sound, harmonious, C, 
MATERIALISM, OBJECTS,, plagiarism, ideas, cynicism, falsehood, hedonism, pleasure, liberalism, education, metamorphism, change, C, 1
STUBBORN, VACILLATION, poised, embarrassment, subtle, maneuverability, doubtful, concern, hopeful, decisiveness, immune, healthiness, A, 1
ATOM, MOLECULE, portrait, masterpiece, electron, void, nail, hammer, element, compound, vegetable, mineral, D, 1
KNIT, EYEBROWS, shake, hands, purse, lips, walk, legs, stoop, knees, squirm, body, B, 1
JUDGE, JUSTICE, guest, invitation, doctor, hospital, actor, entertainment, chef, recipe, lawyer, trial, C, 1
MARATHON, ENDURANCE, race, track, hike, guide, hurdle, victory, line, length, sprint, speed, E, 1
CONGRATULATION, SUCCESS, diligence, wealth, immunization, infection, condolence, sorrow, envy, fame, responsibility, burden, C, 
CONCERT, AUDIENCE, restaurant, waiters, orchestra, musicians, game, spectators, school, cheerleaders, zoo, keepers, C, 
WATER, RESERVOUR, oil, fuel, money, bank, lake, oceanl, parent, family, beach, inlet, B, 
WALK, PROWL, cheat, pretend, speak, shout, applaud, disapprove, listen, eavesdrop, smile, grin, D, 
STAGNANT, MOTION, arid, moisture, morbid, dread, neutral, balance, marred, fault, tilled, irrigation, A, 
RETOUCH, PICTURE, design, dress, orchestrate, song, publish, magazine, emend, text, concoct, pastry, D, 
CAMOUFLAGE, APPEARANCE, compensate, payment, decipher, decode, experiment, hypothesis, bluff, intention, invest, chance, D, 
BIRD, MOLT, Bear, hibernate, snake, slough, fish, catch, hawk, prey, rabbit, trap, B, 
INTROSPECTIVE, SELF, pompous, thoughts, conceited, others, miserly, accomplishments, impetuous, decisions, scrupulous, principles, E, 
INCITE, SEDITIONIST, parade, heckler, assault, victor, abdicate, autocrat, arbitrate, mediator, donate, financier, D, 1
NOISE, DIN, injury, pride, voice, speech, sincerity, homage, emotion, fervor, signal, message, D, 1
PLUG, SOCKET, key, lock, chair, desk, wire, electricity, current, switch, fan, wind, A, 1
RAGE, ANGER, Bliss, apathy, fear, shame, delight, pleasure, D) frustration, patience, approval, censure, C, 1
VERTEX, PYRAMID, strand, hair, rectangle, box, rung, ladder, frame, picture, summit, mountain, E, 1
MOVIE, DIRECTOR, store, salesperson, business, manager, book, critic, competition, athlete, product, advertiser, B, 1
CUTLERY, KNIFE, machinery, fuel, lumber, saw, suitcase, handle, bookcase, volume, furniture, chair, E, 
AUTOBIOGRAPHY, AUTHOR, autograph, signature, self-sufficiency, provision, automation, worker, self-portrait, artist, autopsy, doctor, D, 
CUMULUS, CLOUD, lake, ocean, carnivore, meat, glacier, blizzard, evergreen, tree, evening, daylight, D, 
PATTER, RAIN, rainbow, storm, call, telephone, clank, chain, volume, radio, eruption, volcano, C, 
SOLITUDE, RECLUSE, attention, exhibitionist, courtesy, braggart, poverty, donor, abuse, official, persecution, director, A, 
METICULOUS, DETAIL, tidy, order, wicked, morality, memorable, facts, uniformed, events, jovial, smile, A, 
FETTER, MOBILITY, nourish, appetite, enfeeble, strength, soothe, composure, distract, ignorance, fortify, reconnaissance, B, 
INDECIPHERABLE, DECORDED, enfranchised, voted, anarchical, reprimanded, irrefutable, disproved, prodigal, returned, infamous, known, C, 
AUTHORITARIAN, DISCIPLINE, heckler, sincerity, pragmatist, utility, glutton, abstinence, polemicist, conciliation, infiltrator, purity, C, 
EXHORTATION, ENCOURAGE, eulogy, condemn, tirade, reproach, conversation, debate, lecture, ramble, sermon, praise, B, 1
DISCERNING, NUANCES, hypocritical, motives, brave, decisions, artless, possessions, slothful, results, sensitive, slights, E, 1
BARK, TREE, skim, fruit, dew, grass, seed, flower, peak, hill, wake, boat, A, 1
EXCERPT, BOOK, type, page, script, play, solo, routine, clip, film, drama, musical, D, 1
PIROUETTE, DANCER, touchdown, referee, motivation, coach, somersault, acrobat, model, sculptor, rink, skater, C, 1
HARBOR, SAFETH, quicksand, security, music, disturbance, prison, confinement, restaurant, starvation, oasis, thirst, C, 1
BLUEPRINT, BUILDING, receipt, money, symphony, concert, map, automobile, briefcase, lawyer, agenda, meeting, E, 
BINDING, BOOK, criminal, gang, display, museum, artist, carpenter, nail, hammer, frame, picture, E
EXPLORE, DISCOVER, read, skim, research, learn, write, print, think, relate, sleep, wake, B
SIAMESE, CAT, type, breed, dog, puppy, mark, spot, romaine, lettuce, collar, leash, D
FINCH, BIRD, frog,toad, elephant, reptile, Dalmatian, dog, collie, marsupial, ant, ladybug, C
PETAL, FLOWER, salt, pepper, tire, bicycle, base, ball, sandals, shoes, puppy, dog, B
COTTON, BALE, butter, churn, wine, ferment, grain, shock, curd, cheese, beef, steak, C
ELEPHANT, PACHYDERM, mantis, rodent, poodle, feline, kangaroo, marsupial, zebra, horse, tuna, mollusk, C
PSYCHOLOGIST, NEUROSIS, ophthalmologist, cataract, dermatologist, fracture, infant, pediatrician, rash, orthopedist, oncologist, measles, A
PASTORAL, RURAL, metropolitan, urban, harvest, autumn, agrarian, benevolent, sleepy, nocturnal, wild, agricultural, A
TAILOR, SUIT, scheme, agent, edit, manuscript, revise, writer, mention, opinion, implode, building, B
PEDAL, BICYCLE, inch, yardstick, walk, skip, tire, automobile, buckle, belt, oar, canoe, E
DIVISION, SECTION, layer, tier, tether, bundle, chapter, verse, riser, stage, dais, speaker, A
DEPRESSED, SAD, neat, considerate, towering, cringing, rapid, plodding, progressive, regressive, exhausted, tired, E
BRISTLE, BRUSH, arm, leg, stage, curtain, recline, chair, key, piano, art, sculpture, D
RAIN, DRIZZLE, swim,dive, hop, shuffle, juggle, bounce, walk, run, run, jog, E
PULSATE, THROB, walk, run, tired, sleep, examine, scrutinize, ballet, dancer, find, lose, C
FISH, SHOAL, wolf, pack, elephant, jungle, beagle, clan, herd, peacock, cow, farm, A
ODOMETER, DISTANCE, scale, weight, length, width, inch, foot, mileage, speed, area, size, A
WAITRESS, RESTAURANT, doctor, diagnosis, actor, role, driver, truck, teacher, school, author, book, D
SKEIN, YARN, squeeze, lemon, fire, coal, ream, paper, tree, lumber, plow, acre, C
MONK, DEVOTION, maniac, pacifism, explorer, contentment, visionary, complacency, rover, wanderlust, philistine, culture, D
SLAPSTICK, LAUGHTER, fallacy, dismay, genre, mystery, satire, anger, mimicry, tears, horror, fear, E
VERVE, ENTHUSIASM, loyalty, duplicity, devotion, reverence, intensity, color, eminence, anonymity, generosity, elation, B
SPY, CLANDESTINE, accountant, meticulous, furrier, rambunctious, lawyer, ironic, shepherd, garrulous, astronaut, opulent, A
COBBLER, SHOE, jockey, horse, contractor, building, mason, stone, cowboy, boot, potter, paint, B
UMBRAGE, OFFENSE, confusion, penance, infinity, meaning, decorum, decoration, elation, jubilance, outrage, consideration, D
DIRGE, FUNERAL, chain, letter, bell, church, telephone, call, jingle, commercial, hymn, concerto, D
DOMINANCE, HEGEMONY, romance, sympathy, furtherance, melancholy, independence, autonomy, tolerance, philanthropy, recompense, hilarity, C
PHOBIC, FEARFUL, finicky, thoughtful, cautious, emotional, envious, desiring, shy, familiar, asinine, silly, E
FERAL, TAME, rancid, rational, repetitive, recurrent, nettlesome, annoying, repentant, honorable, ephemeral, immortal, E
METAPHOR, SYMBOL, pentameter, poem, rhythm, melody, nuance, song, slang, usage, analogy, comparison, E
INTEREST, OBSESSION, mood, feeling, weeping, sadness, dream, fantasy, plan, negation, highlight, indication, C
CONDUCTOR, ORCHESTRA, jockey, mount, thrasher, hay, driver, tractor, skipper, crew, painter, house, D
FROND, PALM, quill, porcupine, blade, evergreen, scale, wallaby, tusk, alligator, blade, fern, A
SOUND, CACOPHONY, taste, style, touch, massage, smell, stench, sight, panorama, speech, oration, C
AERIE, EAGLE, capital, government, bridge, architect, unit, apartment, kennel, veterinarian, house, person, E
PROFESSOR, ERUDITE, aviator, licensed, inventor, imaginative, procrastinator, conscientious, overseer, wealthy, moderator, vicious, B
DELTOID, MUSCLE, radius, bone, brain, nerve, tissue, organ, blood, vein, scalpel, incision, A
JAUNDICE, LIVER, rash, skin, dialysis, kidney, smog, lung, valentine, heart, imagination, brain, A
CONVICTION, INCARCERATION, reduction, diminution, induction, amelioration, radicalization, estimation, marginalization, intimidation, proliferation, alliteration, A
DEPENDABLE, CAPRICIOUS, fallible, cantankerous, erasable, obtuse, malleable, limpid, capable, inept, incorrigible, guilty, D
