WALL, ROOM, lettuce, sandwich, dog, cat, wheel, car, song, dance, C
INCIPIENT, MATURE, prescient, correct, analogous, comparable, destitute, affluent, unctuous, oily, C
SUCCULENT, RICH, caustic, relaxing, amiable, indifferent, bloodthirsty, violent, farcical, funny, C
CAUCUS, MEETING, chef, entrée, dissertation, degree, paleontologist, scientist, salute, capitulation, C
INDIGENT, POOR, ethereal, concrete, apathetic, depressed, inadvertent, presaged, sanctimonious, hypocritical, D
IMPROMPTU, REHEARSAL, precocious, direction, perpetual, cessation, impious, dedication, truant, membership, B
MAELSTROM, STORM, feline, cat, analgesic, painkiller, omen, destiny, savant, disability, B
IGNORAMUS, UNINTELLIGENT, teacher, tenured, virtuoso, skilled, illness, terminal, hooligan, popular, B
PANACEA, CURE, condiment, eat, mallet, strike, paradox, contradict, charlatan, deceive, B
MALADROIT, SKILL, domineering, power, abject, poverty, pretentious, modesty, faithful, commitment, C
FASTIDIOUS, PARTICULAR, fanatical, enthusiastic, edible, delicious, adamant, opposed, manipulative, masterful, A
EXONERATION, RELEASE, examination, accusation, death, execution, governor, pardon, conviction, sentencing, D
CLAY, MALLEABLE, profanity, censored, acceleration, quick, animosity, unwarranted, chicanery, dishonest, D
PRISTINE, DAMAGED, ruined, annihilated, didactic, instructive, inconspicuous, stealthy, paramount, unimportant, D
FETTER, RESTRAINT, dichotomy, division, school, seminary, parasite, assistant, follicle, hair, A
MAP, ATLAS, appendage, body, reprimand, insult, typhoon, hurricane, beast, creature, A
DIFFIDENT, CONFIDENCE, infertile, family, incorrigible, punishment, rash, audacity, deceitful, honesty, D
CLAIRVOYANT, PREDICT, crustacean, swim, patron, support, prodigy, learn, savant, teach, B
DIRGE, MOURNFUL, tree, deciduous, degenerate, racist, lawyer, diplomatic, parody, amusing, D
BOURGEOISIE, CLASS, commission, wage, mortgage, insurance, disciple, leader, smorgasbord, buffet, D
MENAGERIE, ANIMALS, troupe, theaters, harem, concubines, vernacular, dictionaries, wardrobe, furniture, B
BOW, BOAT, word, lexicon, compliment, friendship, seaman, battleship, henchman, villain, A
MISER, PARSIMONIOUS, humanitarian, mortal, misanthrope, antagonistic, doctor, hospitable, mercenary, greedy, B
PROSAIC, EXCITING, clandestine, overt, mendacious, untrue, militaristic, aggressive, nuanced, detailed, A
INFALLIBLE, ERROR, inebriated, sobriety, obstinate, acceptance, polytheistic, salvation, pusillanimous, fear, A
VACUOUS, INTELLIGENCE, vapid, liveliness, quixotic, chivalry, requisite, necessity, entertaining, excitement, A
PARTISAN, BIASED, rivulet, powerful, spinster, unmarried, savage, classy, proletarian, socialist, B
INITIAL, ACRONYM, homophone, definition, newspaper, perspective, stanza, poem, cornucopia, harvest, C
METICULOUS, CAREFUL, ascetic, frugal, knowledgeable, informative, malignant, cancerous, artificial, genuine, A
INGENUE, NAIVE, witness, judgmental, slur, pejorative, epitaph, deceased, feline, feminine, B
HAMLET, VILLAGE, fallacy, lie, formula, milk, simile, comparison, pesticide, crop, C
FRIVOLOUS, GRAVE, astute, clever, pitiless, callous, sensitive, tactful, frugal, extravagant, D
PERCEPTIVE, NOTICE, apprehensive, doubt, maternal, coddle, versatile, adapt, guilty, resent, C
SOPHOMORIC, MATURITY, circumspect, attention, capricious, impulse, prudent, wisdom, venal, integrity, D
DISPARAGE, ENCOURAGE, venerate, desecrate, diverge, distract, purloin, steal, defy, reject, A
SMORGASBORD, FOODS, anthology, passages, almanac, books, disparity, crimes, massacre, soldiers, A
CAPILLARY, VESSEL, concubine, spouse, tabernacle, sanctuary, pedestrian, sidewalk, vignette, theater, B
GALLEON, SAIL, masterpiece, create, quarantine, isolate, neurologist, think, nominee, vote, B
MISOGYNIST, FEMINIST, modicum, abundance, reflection, inversion, priory, convent, consequence, action, A
PARISHIONER, CHURCH, rant, soliloquy, lament, testimony, opera, aria, constituent, district, D
INSURGENT, REBELLIOUS, garrison, garrulous, rivalry, amicable, stereotype, oversimplified, voice, monotonous, C
EPIDERMIS, SKIN, hypotenuse, triangle, procedure, method, supplicant, lender, transmission, radio, A
QUANDARY, UNCERTAINTY, treachery, forgiveness, crime, wrongdoing, coupon, redemption, government, triumvirate, B
COLLOQUIAL, FORMAL, unbecoming, improper, resilient, persistent, perpendicular, angled, intermittent, continuous, D
SPY, ESPIONAGE, manufacturer, production, principal, tutelage, clergyman, divinity, warden, prisoners, A
INSOMNIAC, SLEEP, punishment, penance, innuendo, interpretation, stoic, emotion, counterfeit, falsity, C
VOLATILE, UNSTABLE, scholarly, erudite, persnickety, picky, entertaining, jovial, important, momentous, B
BELLICOSE, AGGRESSIVE, reputable, shady, aromatic, unscented, corporeal, imagined, irksome, annoying, D
REBUTTAL, REFUTE, convulsion, shudder, message, inform, emporium, purchase, henchman, lead, B
MUTINOUS, COMPLIANT, nebulous, distinct, heinous, awful, laborious, toilsome, nominal, trivial, A
RANT, BOMBASTIC, recluse, friendly, bard, talkative, conflagration, disastrous, obelisk, mysterious, C
CASTLE, EDIFICE, objective, task, profiteer, mercenary, subpoena, summons, trilogy, sequel, C
VOLUMINOUS, LARGE, ravenous, hungry, separable, divisible, sinuous, straight, lustrous, golden, A
NEGLIGENCE, CARELESSNESS, stone, lithograph, jubilation, anniversary, bigotry, friendship, admiration, reverence, D
SHEPHERD, DOG, marsupial, kangaroo, whelp, dragon, albatross, bird, hornet, bee, C
IRRATIONAL, REASON, voluble, fluency, irreproachable, flaws, eclectic, versatility, nefarious, sin, B
SENATOR, LEGISLATURE, palisade, resort, battleship, armada, predator, wolf, introvert, personality, B
EXTROVERT, GREGARIOUS, jingoist, nationalistic, judge: deciduous, philanthropist, amorous, businessman, shrewd, A
SUSPECT, CREDIBILITY, dubious, discussion, conventional, novelty, controversial, evidence, mountainous, elevation, B
PLATFORM, POLICIES, slaughterhouse, meat, congregation, churches, hierarchy, rulers, medley, songs, D
AIMLESS, DIRECTION, wary, trust, pathetic, dignity, lazy, health, silly, comedy, A
MARATHON, ENDURANCE, tournament, judges, examination, knowledge, revolution, ideology, disaster, piety, B
EMACIATED, THIN, peripatetic, mobile, quarrelsome, agreeable, meticulous, careful, insubordinate, obedient, C
INFAMY, REPUTATION, compassion, virtue, pain, agony, emancipation, proclamation, sediment, dirt, A
JURISPRUDENCE, LAW, linguistics, language, botany, animals, literacy, letters, astrology, space, A
APATHETIC, ZEAL, righteous, judgment, secular, belief, unapologetic, remorse, impressionable, youth, C
AVARICE, GENEROSITY, tenacity, determination, jeopardy, security, territorialism, land, retaliation, revenge, B
